Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,0.0000,0.0000,0.0050,0.0000,0.0000,0.3012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,0.0000,0.0000,0.0090,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0300,0.0000,0.0000,0.0140,0.0000,0.0000,0.4984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0400,0.0000,0.0000,0.0200,0.0000,0.0000,0.5962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0269,0.0000,0.0000,0.6934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0600,0.0000,0.0000,0.0348,0.0000,0.0000,0.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0700,0.0000,0.0000,0.0437,0.0000,0.0000,0.8859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0800,0.0000,0.0000,0.0535,0.0000,0.0000,0.9810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0900,0.0000,0.0000,0.0642,0.0000,0.0000,1.0754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0759,0.0000,0.0000,1.1690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1100,0.0000,0.0000,0.0885,0.0000,0.0000,1.2618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,0.0000,0.0000,0.1021,0.0000,0.0000,1.3536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1300,0.0000,0.0000,0.1165,0.0000,0.0000,1.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1400,0.0000,0.0000,0.1319,0.0000,0.0000,1.5343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,0.0000,0.0000,0.1481,0.0000,0.0000,1.6232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1600,0.0000,0.0000,0.1652,0.0000,0.0000,1.7110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,0.0000,0.0000,0.1832,0.0000,0.0000,1.7977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1800,0.0000,0.0000,0.2020,0.0000,0.0000,1.8832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1900,0.0000,0.0000,0.2217,0.0000,0.0000,1.9675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.0000,0.0000,0.2422,0.0000,0.0000,2.0506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2100,0.0000,0.0000,0.2635,0.0000,0.0000,2.1325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2200,0.0000,0.0000,0.2857,0.0000,0.0000,2.2130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2300,0.0000,0.0000,0.3086,0.0000,0.0000,2.2922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2400,0.0000,0.0000,0.3323,0.0000,0.0000,2.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,0.0000,0.0000,0.3567,0.0000,0.0000,2.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
